ncap,seed,H,gini,alive,ratio_sg,share_rate,quadrant
222,20011,1.523,0.4466,219,1.9547,0.2417,Roma
222,20012,0.9177,0.2878,222,0.3683,0.2518,Type_A
222,20013,1.2554,0.2786,214,0.1516,0.1019,Roma
222,20014,0.9782,0.3139,221,0.4215,0.2814,Type_A
222,20015,0.8653,0.2597,221,0.2962,0.2228,Utopia
222,20016,1.5818,0.4831,210,0.4747,0.2067,Roma
222,20017,1.5895,0.3909,222,1.3432,0.2436,Roma
222,20018,1.0163,0.3792,216,0.5644,0.3499,Roma
222,20019,1.0229,0.4066,214,0.6129,0.3696,Roma
222,20020,0.9239,0.2823,221,0.3547,0.247,Type_A
222,20021,0.6199,0.0932,208,0.3107,0.1194,Utopia
222,20022,1.0451,0.1466,213,1.0331,0.3497,Type_B
222,20023,1.0433,0.4307,214,0.7554,0.4198,Roma
222,20024,1.0814,0.182,198,2.008,0.4972,Type_B
222,20025,1.0795,0.2419,190,2.4119,0.4972,Type_B
222,20026,1.5679,0.4653,213,0.4483,0.1987,Roma
222,20027,0.985,0.1288,209,0.9205,0.3222,Utopia
222,20028,0.3061,0.0456,222,0.0003,0.0003,Utopia
222,20029,0.6056,0.0983,209,0.2768,0.1121,Utopia
222,20030,1.0241,0.4085,219,0.6351,0.3784,Roma
222,20031,1.0033,0.3887,213,0.5756,0.3522,Roma
222,20032,1.2685,0.2885,208,0.1927,0.132,Roma
222,20033,1.5475,0.4235,215,2.5084,0.2717,Roma
222,20035,0.6375,0.0786,206,0.3083,0.1232,Utopia
222,20036,1.293,0.4164,152,0.0002,0.0002,Roma
222,20037,0.6991,0.0771,222,0.2813,0.1375,Utopia
222,20038,0.6515,0.0808,208,0.3373,0.1452,Utopia
222,20039,0.8956,0.2666,222,0.3312,0.2341,Utopia
222,20041,1.1146,0.1554,189,2.0692,0.5109,Type_B
222,20042,0.9544,0.3065,222,0.3969,0.2676,Type_A
222,20043,0.9645,0.115,210,1.0186,0.304,Utopia
222,20044,0.5892,0.0982,207,0.2763,0.1085,Utopia
222,20045,0.9219,0.2749,221,0.352,0.2437,Type_A
222,20046,0.6331,0.0785,209,0.2813,0.1146,Utopia
222,20047,0.9504,0.3403,216,0.4589,0.3079,Type_A
222,20048,0.91,0.2571,222,0.2942,0.2197,Utopia
222,20049,0.9753,0.3113,218,0.409,0.2769,Type_A
222,20050,1.0382,0.198,213,0.093,0.0715,Type_B
222,20051,0.9383,0.4123,184,5.3815,0.7021,Type_A
222,20052,0.9907,0.3665,212,0.5303,0.3369,Roma
222,20053,1.0872,0.2768,198,2.2652,0.5165,Roma
222,20054,0.8101,0.0832,217,0.5911,0.2137,Utopia
222,20056,1.0549,0.2199,197,2.5674,0.5496,Type_B
222,20057,0.2782,0.0458,222,0.0002,0.0002,Utopia
222,20058,1.0062,0.2792,195,3.5805,0.6263,Roma
222,20059,1.0089,0.3474,222,0.492,0.3174,Roma
224,20000,0.9784,0.3425,224,0.4568,0.3027,Type_A
224,20001,0.7403,0.0784,221,0.4577,0.173,Utopia
224,20002,1.122,0.4006,202,0.0002,0.0002,Roma
224,20003,0.2136,0.0461,222,0.0002,0.0001,Utopia
224,20004,1.0557,0.4376,215,0.767,0.4216,Roma
224,20005,0.7555,0.0795,223,0.3699,0.1684,Utopia
224,20007,0.9674,0.3127,222,0.4312,0.2857,Type_A
224,20008,1.0849,0.1635,212,1.2294,0.3755,Type_B
224,20009,0.9241,0.2928,218,0.3817,0.2707,Type_A
224,20010,0.0353,0.0497,210,0.0002,0.0002,Utopia
224,20011,1.3673,0.3434,221,0.2499,0.1571,Roma
224,20012,0.6323,0.0757,221,0.3032,0.1331,Utopia
224,20013,1.0126,0.3531,222,0.4976,0.3196,Roma
224,20014,1.5985,0.5038,222,0.5215,0.2204,Roma
224,20015,0.9857,0.1931,216,0.0002,0.0002,Utopia
224,20016,0.9564,0.3113,222,0.4014,0.2751,Type_A
224,20017,1.5998,0.4484,224,3.0321,0.3171,Roma
224,20018,1.5317,0.4229,193,3.5797,0.2859,Roma
224,20019,1.0353,0.3738,220,0.5469,0.3406,Roma
224,20020,1.1408,0.1926,213,1.5165,0.4512,Type_B
224,20021,1.5544,0.4544,219,0.6416,0.3025,Roma
224,20022,0.9247,0.2938,221,0.394,0.2771,Type_A
224,20023,1.0883,0.4351,224,0.7732,0.4154,Roma
224,20024,0.925,0.2806,223,0.349,0.2521,Type_A
224,20025,0.0949,0.0484,215,0.0002,0.0001,Utopia
224,20026,0.2957,0.0453,224,0.0002,0.0002,Utopia
224,20027,1.006,0.1317,208,0.9885,0.3419,Type_B
224,20028,0.8525,0.1829,224,0.236,0.1853,Utopia
224,20029,0.4861,0.0743,212,0.1864,0.072,Utopia
224,20030,0.9876,0.3758,223,0.5204,0.3287,Roma
224,20031,1.1065,0.1934,201,2.1472,0.5111,Type_B
224,20032,0.9251,0.2793,223,0.3402,0.2475,Type_A
224,20033,0.9323,0.1007,208,1.0709,0.2844,Utopia
224,20034,1.3765,0.3803,221,0.1577,0.0877,Roma
224,20035,0.9437,0.2692,224,0.3494,0.2379,Utopia
224,20036,0.9363,0.1059,213,0.9717,0.2908,Utopia
224,20037,0.8902,0.0901,210,0.841,0.2581,Utopia
224,20038,1.0639,0.3508,196,2.979,0.6081,Roma
224,20039,1.5935,0.4874,210,0.4753,0.2058,Roma
224,20040,1.0434,0.3645,218,0.5264,0.3324,Roma
224,20041,0.5233,0.0699,224,0.1662,0.0724,Utopia
224,20042,0.5303,0.0696,224,0.1815,0.0761,Utopia
224,20043,0.6374,0.0751,224,0.2736,0.1239,Utopia
224,20044,1.0384,0.3717,221,0.5536,0.3425,Roma
224,20045,1.0265,0.2026,211,0.0818,0.0628,Type_B
224,20046,1.5598,0.3953,224,1.1914,0.2212,Roma
224,20047,0.6722,0.0797,210,0.3568,0.1361,Utopia
224,20048,0.5476,0.0704,220,0.2271,0.0943,Utopia
224,20049,1.4446,0.4171,219,1.4474,0.2122,Roma
224,20050,1.1094,0.32,190,4.9926,0.5612,Roma
224,20051,0.975,0.3109,223,0.4138,0.2793,Type_A
224,20052,1.0906,0.2091,196,2.6824,0.5746,Type_B
224,20053,1.2594,0.2732,218,0.2022,0.1391,Type_B
224,20054,0.9967,0.3016,223,0.4512,0.3035,Roma
224,20055,0.993,0.3076,224,0.3938,0.2647,Roma
224,20056,0.7599,0.0797,220,0.3987,0.1782,Utopia
224,20057,1.0501,0.4123,218,0.6874,0.3959,Roma
224,20058,1.0658,0.4983,211,1.0439,0.4876,Roma
224,20059,1.0034,0.3712,213,0.5447,0.3419,Roma
224,20060,0.781,0.0809,217,0.5387,0.1974,Utopia
224,20061,0.8662,0.0846,215,0.6569,0.2434,Utopia
224,20062,0.8874,0.0926,213,0.504,0.2283,Utopia
224,20063,1.4716,0.4233,211,0.3528,0.1923,Roma
224,20064,1.3388,0.3282,216,0.223,0.143,Roma
224,20065,0.6976,0.1409,213,0.3639,0.1465,Utopia
224,20066,1.0097,0.3033,221,0.4805,0.3177,Roma
224,20067,1.2034,0.2726,217,0.1605,0.1131,Type_B
224,20068,0.7985,0.156,220,0.1885,0.1536,Utopia
224,20069,1.125,0.2845,176,0.0002,0.0002,Roma
224,20070,0.5782,0.0977,224,0.2222,0.0913,Utopia
224,20071,0.7761,0.0849,211,0.4566,0.1963,Utopia
224,20072,1.5613,0.576,223,0.7889,0.2197,Roma
224,20073,0.8707,0.2291,216,0.3139,0.2355,Utopia
224,20074,0.7787,0.1496,160,0.0003,0.0003,Utopia
224,20075,0.9921,0.3067,224,0.4159,0.275,Roma
224,20076,1.2312,0.1987,207,1.0705,0.4453,Type_B
224,20077,0.8509,0.2506,223,0.2684,0.2053,Utopia
224,20078,1.0415,0.2224,201,2.9676,0.5623,Type_B
224,20079,0.8153,0.081,217,0.5554,0.194,Utopia
224,20080,0.2754,0.0455,224,0.0002,0.0002,Utopia
224,20081,1.4111,0.51,189,4.6445,0.2949,Roma
224,20082,0.7375,0.0817,212,0.3984,0.1653,Utopia
224,20083,1.1826,0.1485,207,0.8433,0.3796,Type_B
224,20084,1.3366,0.331,219,0.2175,0.1393,Roma
224,20085,1.436,0.3602,221,0.2417,0.1404,Roma
224,20086,1.0591,0.4293,213,0.7036,0.4002,Roma
224,20087,1.4107,0.4936,198,5.1259,0.2821,Roma
224,20088,0.1821,0.0463,222,0.0002,0.0002,Utopia
224,20089,0.3071,0.0454,224,0.0002,0.0001,Utopia
224,20090,0.2623,0.0457,224,0.0003,0.0003,Utopia
224,20091,0.8502,0.1868,220,0.2404,0.1883,Utopia
224,20092,0.602,0.0768,210,0.2838,0.1144,Utopia
224,20093,0.7023,0.0756,221,0.4095,0.1533,Utopia
224,20094,0.8199,0.0815,224,0.3847,0.1892,Utopia
224,20095,1.6041,0.4966,222,0.5136,0.2174,Roma
224,20096,0.9138,0.2485,224,0.2907,0.2081,Utopia
224,20097,0.657,0.0794,208,0.3504,0.1394,Utopia
224,20098,0.5285,0.0702,224,0.2034,0.0843,Utopia
224,20099,0.1394,0.0476,215,0.0002,0.0002,Utopia
226,20000,1.0503,0.3066,198,2.8367,0.5556,Roma
